nid,name,court_name,commission_date,termination_date
561108,Jeffrey Owens,"Harris, Austin and Ho",2001-04-09,2013-06-24
834688,Caitlin Woodard,"Armstrong, Stevens and Brown",2015-03-03,2024-06-15
255767,Nicole Shaw,"Mays, Hart and Macias",2018-02-27,2006-01-23
521171,John Conway,Dean LLC,2000-03-08,2011-04-28
831523,Crystal Henry,"Johnson, Hudson and Bates",2023-07-28,2009-02-13
524191,Shawn Rowe,"Roberts, Sweeney and Smith",2016-08-31,2010-09-01
386605,Christian Roach,"Gibson, Bates and Morgan",2001-05-11,2000-11-10
760327,Katherine Moore,Jones-Gutierrez,2011-01-06,
366409,Mariah Webster,Haas-Whitney,2001-01-19,2023-10-30
234649,Belinda Richardson,Nelson LLC,2008-05-01,
567574,Heather Lewis,Edwards Inc,2011-02-03,
505683,Kevin Smith,"Campos, Allen and Warren",2015-05-03,2022-02-19
101991,Stephanie Hall,Barrett LLC,2021-03-24,
434474,Joshua Fernandez,Bolton-Garcia,2014-10-24,2016-05-04
841408,Brittany Mann,"Mcintyre, Johnson and Cuevas",2014-06-20,2024-08-16
209122,Nicholas Bell,Cooper-Miller,2009-10-14,
649662,Maria King,Norris Ltd,2000-01-17,
767226,Chad Ramos,Murillo-Graves,2003-03-21,2004-05-21
896736,William Wilson,Diaz-Reed,2003-09-18,
546981,William Diaz,Duncan and Sons,2017-09-18,2022-11-03
124642,Crystal Burnett,"Hancock, Jensen and Christian",2012-05-18,2014-05-31
537457,Larry Mcconnell,Wright-Brown,2000-07-25,2022-05-22
402957,Brooke Hicks,Miller-Allen,2012-03-27,2023-01-24
279682,James Lee,Rojas PLC,2008-10-08,
612722,Heidi Lewis,Walker-Long,2023-01-22,2014-09-07
105505,Monica Garcia,Alvarez-Jackson,2006-01-08,
964816,Samantha Bowman,"Flores, Jacobs and Rose",2010-05-15,
210525,Lisa Branch,Jackson-Anderson,2008-05-11,2001-10-10
124622,Kelsey Hull,Brown Inc,2008-09-05,2021-09-25
680937,Michael Levine,Gordon Ltd,2010-03-29,2012-01-01
786342,Jacob Floyd,Pennington-Jackson,2004-02-29,
998146,Kara May,"Price, Montoya and Nelson",2013-12-28,2020-03-13
638941,Victor Bowen,Rodriguez Inc,2013-02-07,
172632,Teresa Nguyen,Shaw Inc,2005-11-01,2009-09-06
881120,Chelsea Bryan,King PLC,2005-02-13,2008-03-06
